sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
271,2720428375,10500000083,10500428458,428375
272,2730477750,10510000083,10510477833,477750
273,2740245375,10520000083,10520245458,245375
274,2750246333,10530000083,10530246416,246333
275,2760246125,10540000083,10540246208,246125
276,2770241833,10550000083,10550241916,241833
277,2780248333,10560000083,10560248416,248333
278,2790246375,10570000083,10570246458,246375
279,2800245875,10580000083,10580245958,245875
280,2810246541,10590000083,10590246625,246542
281,2820246333,10600000083,10600246416,246333
282,2830249333,10610000083,10610249416,249333
283,2840245625,10620000083,10620245708,245625
284,2850245708,10630000083,10630245791,245708
285,2860246375,10640000083,10640246458,246375
286,2870252875,10650000083,10650252958,252875
287,2880250041,10660000083,10660250125,250042
288,2890248958,10670000083,10670249041,248958
289,2900278208,10680000083,10680278291,278208
290,2910337791,10690000083,10690337875,337792
291,2920246583,10700000083,10700246666,246583
292,2930246375,10710000083,10710246458,246375
293,2940245583,10720000083,10720245666,245583
294,2950248000,10730000083,10730248083,248000
295,2960247791,10740000083,10740247875,247792
296,2970249916,10750000083,10750250000,249917
297,2980245333,10760000083,10760245416,245333
298,2990244250,10770000083,10770244333,244250
299,3000244625,10780000083,10780244708,244625
300,3010242958,10790000083,10790243041,242958
301,3020242458,10800000083,10800242541,242458
302,3030245458,10810000083,10810245541,245458
303,3040244375,10820000083,10820244458,244375
304,3050244750,10830000083,10830244833,244750
305,3060244250,10840000083,10840244333,244250
306,3070245500,10850000083,10850245583,245500
307,3080249375,10860000083,10860249458,249375
308,3090245083,10870000083,10870245166,245083
309,3100244000,10880000083,10880244083,244000
310,3110244666,10890000083,10890244750,244667
311,3120622750,10900000083,10900622833,622750
312,3130243666,10910000083,10910243750,243667
313,3140245208,10920000083,10920245291,245208
314,3150250250,10930000083,10930250333,250250
315,3160249458,10940000083,10940249541,249458
316,3170250708,10950000083,10950250791,250708
317,3180468958,10960000083,10960469041,468958
318,3190317666,10970000083,10970317750,317667
319,3200247458,10980000083,10980247541,247458
320,3210246666,10990000083,10990246750,246667
321,3220243250,11000000083,11000243333,243250
322,3230244791,11010000083,11010244875,244792
